"No.","Time","Source","Destination","Protocol","Length","Time to Live","Source Port","Destination Port","Info"
"513","13.653289","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=88230 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"514","13.653298","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=89690 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"515","13.653306","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=91150 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"516","13.653338","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=92610 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"517","13.653346","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=94070 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"518","13.653353","192.168.88.128","192.168.88.1","TPKT","575","128","3389","33611","Continuation"
"519","13.654725","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=96051 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"520","13.654735","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=97511 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"521","13.654743","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=98971 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"522","13.654752","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=100431 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"523","13.654761","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=101891 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"524","13.654769","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=103351 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"525","13.654777","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=104811 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"526","13.654786","192.168.88.128","192.168.88.1","TPKT","1151","128","3389","33611","Continuation"
"527","13.655095","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=107368 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"528","13.655103","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=108828 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"529","13.655111","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=110288 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"530","13.655118","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=111748 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"531","13.655125","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=113208 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"532","13.655133","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=114668 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"533","13.655140","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=116128 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
